programme_id,programme_name,institution_id,institution_name,field_name,original_value,value,fill_method,confidence,scope,donor_entity,donor_name,donor_programme_id,source_url,provider,provenance,resolution_level,original_status,is_new,overwrote_nonempty,package_evidence_status
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,programme_identity,Computer Science MSc,Computer Science MSc,DIRECT,LOW,programme,c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,c695f7f2-0ce1-5caa-9600-cf5fc759a332,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091188,frozen_programme_catalogue,Persisted verified programme catalogue title.,H0,CATALOGUE_RECORD,0,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,credential,MSc,MSc,DIRECT,HIGH,programme,c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,c695f7f2-0ce1-5caa-9600-cf5fc759a332,https://opintopolku.fi/konfo-backend/hakukohde/1.2.246.562.20.00000000000000091188,frozen_programme_catalogue,Credential token retained from persisted programme title.,H0,CATALOGUE_DERIVED,0,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,duration,,2 ans,SAME_DEGREE,MEDIUM,programme,ceec9355-9c45-56cb-a776-d302dd78bb57,target programme,ceec9355-9c45-56cb-a776-d302dd78bb57,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,onisep_higher_ed,Reused existing local MAX_FILL donor via degree disc relation.,ADVISORY,DIRECT_ACCEPTED,1,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,location,,Biot,SAME_DEGREE,MEDIUM,programme,bea9cf87-a594-599a-af97-f393a534a5f1,target programme,bea9cf87-a594-599a-af97-f393a534a5f1,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,onisep_higher_ed,Reused existing local MAX_FILL donor via degree disc relation.,ADVISORY,DIRECT_ACCEPTED,1,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,delivery_mode,,"temps plein, cours en présentiel",SAME_DEGREE,MEDIUM,programme,ceec9355-9c45-56cb-a776-d302dd78bb57,target programme,ceec9355-9c45-56cb-a776-d302dd78bb57,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,onisep_higher_ed,Reused existing local MAX_FILL donor via degree disc relation.,ADVISORY,DIRECT_ACCEPTED,1,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,programme_language,,NLD,SAME_DEGREE,MEDIUM,programme,dcf7376b-e09f-5a39-a42b-463e84ec8ccc,dcf7376b-e09f-5a39-a42b-463e84ec8ccc,d09b3b83-7fe8-5626-bb42-6dd7661c0972,https://onderwijsdata.duo.nl/api/3/action/datastore_search?filters=%7B%22ONDERWIJSBESTUURID%22%3A%22107B605%22%2C%22OPLEIDINGSEENHEIDCODE%22%3A%221001O8897%22%7D&limit=1&resource_id=ffffa7ad-e6a2-4ba7-9fc2-a09df4128555,duo_rio_ho,Reused existing local MAX_FILL donor via degree disc relation.,ADVISORY,HIERARCHICAL_ADVISORY,1,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,programme_status,,Active,HEURISTIC,LOW,programme,aalto-fi-canary,Aalto University,,local://ultra-max-fill-heuristic,local_ultra_max_fill,Advisory status default for the verified population.,ADVISORY,ADVISORY,1,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,academic_cycle,,2026,SAME_DEGREE,MEDIUM,programme,000d6d3c-0358-5e93-b610-b7b9476fcada,master mention informatique,ceec9355-9c45-56cb-a776-d302dd78bb57,persisted://stage1/programme-offering/000d6d3c-0358-5e93-b610-b7b9476fcada,frozen_programme_offering,Reused existing local MAX_FILL donor via degree disc relation.,ADVISORY,OFFERING_RECORD,1,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,tuition,,EUR 8500 / year,SAME_DEGREE,MEDIUM,programme,23a1be45-6364-5f9d-aaaf-2dfa117a3fc9,target programme,23a1be45-6364-5f9d-aaaf-2dfa117a3fc9,https://api.opendata.onisep.fr/downloads/605344579a7d7/605344579a7d7.csv,onisep_higher_ed,Reused existing local MAX_FILL donor via degree disc relation.,ADVISORY,DIRECT_ACCEPTED,1,0,ADVISORY
c695f7f2-0ce1-5caa-9600-cf5fc759a332,Computer Science MSc,aalto-fi-canary,Aalto University,additional_fees,,Additional fees may apply; see the institution fee schedule,HEURISTIC,LOW,institution,aalto-fi-canary,Aalto University,,local://ultra-max-fill-heuristic,local_ultra_max_fill,No local additional-fee donor; advisory placeholder.,ADVISORY,ADVISORY,1,0,ADVISORY
